state,pop
Alabama,5039877.00
Alaska,732673.00
Arizona,7276316.00
Arkansas,3025891.00
California,39237836.00
Colorado,5812069.00
Connecticut,3605597.00
Delaware,1003384.00
District of Columbia,670050.00
Florida,21781128.00
Georgia,10799566.00
Hawaii,1441553.00
Idaho,1900923.00
Illinois,12671469.00
Indiana,6805985.00
Iowa,3193079.00
Kansas,2934582.00
Kentucky,4509394.00
Louisiana,4624047.00
Maine,1372247.00
Maryland,6165129.00
Massachusetts,6984723.00
Michigan,10050811.00
Minnesota,5707390.00
Mississippi,2949965.00
Missouri,6168187.00
Montana,1104271.00
Nebraska,1963692.00
Nevada,3143991.00
New Hampshire,1388992.00
New Jersey,9267130.00
New Mexico,2115877.00
New York,19835913.00
North Carolina,10551162.00
North Dakota,774948.00
Ohio,11780017.00
Oklahoma,3986639.00
Oregon,4246155.00
Pennsylvania,12964056.00
Rhode Island,1095610.00
South Carolina,5190705.00
South Dakota,895376.00
Tennessee,6975218.00
Texas,29527941.00
Utah,3337975.00
Vermont,645570.00
Virginia,8642274.00
Washington,7738692.00
West Virginia,1782959.00
Wisconsin,5895908.00
Wyoming,578803.00
Puerto Rico,3263584.00
